serial,day,month,year,Date,season,time,bin_depth_min,bin_depth_max,n,depth_mean,depth_sd,depth_cv,temp_mean,temp_sd,temp_cv,cond_mean,cond_sd,cond_cv,ph_mean,ph_sd,ph_cv,turb_mean,turb_sd,turb_cv,chloro_mean,chloro_sd,chloro_cv,do_percent_mean,do_percent_sd,do_percent_cv,do_ppm_mean,do_ppm_sd,do_ppm_cv,lat,long
103,18,6,2013,6/18/2013,Spring,1435,0.5,1.5,4,0.754,0.269,0.357,20.42,0.02,0.001,0.26,0,0,8.203,0.01,0.001,9.325,0.974,0.104,0.275,1.482,5.389,99.475,1.895,0.019,8.965,0.167,0.019,41.8634,-83.24993
103,18,6,2013,6/18/2013,Spring,1435,1.5,2.5,4,2.046,0.317,0.155,20.44,0.008,0,0.26,0,0,8.22,0.008,0.001,11.1,3.582,0.323,0.3,0.825,2.75,102.15,0.569,0.006,9.2,0.052,0.006,41.8634,-83.24993
103,18,6,2013,6/18/2013,Spring,1435,2.5,3.5,4,3.158,0.212,0.067,20.422,0.005,0,0.26,0,0,8.238,0.005,0.001,8.65,0.238,0.028,2.475,1.266,0.512,103.7,0.392,0.004,9.345,0.034,0.004,41.8634,-83.24993
103,18,6,2013,6/18/2013,Spring,1435,3.5,4.5,2,4.084,0.212,0.052,20.415,0.007,0,0.26,0,0,8.245,0.007,0.001,8.6,0,0,2.1,3.394,1.616,104.5,0.141,0.001,9.42,0.014,0.001,41.8634,-83.24993
103,18,6,2013,6/18/2013,Spring,1435,4.5,5.5,3,4.975,0.357,0.072,20.393,0.006,0,0.26,0,0,8.25,0,0,8.767,0.493,0.056,2.7,0.781,0.289,104.833,0.115,0.001,9.453,0.012,0.001,41.8634,-83.24993
103,18,6,2013,6/18/2013,Spring,1435,5.5,6.5,3,6.066,0.326,0.054,20.367,0.021,0.001,0.26,0,0,8.26,0,0,8.467,0.208,0.025,3.4,2.252,0.662,105.3,0.1,0.001,9.497,0.015,0.002,41.8634,-83.24993
103,18,6,2013,6/18/2013,Spring,1435,6.5,7.5,3,7.203,0.36,0.05,20.307,0.035,0.002,0.259,0.001,0.004,8.26,0,0,9.633,0.577,0.06,3.1,2.261,0.729,105.467,0.058,0.001,9.527,0.015,0.002,41.8634,-83.24993
103,18,6,2013,6/18/2013,Spring,1435,7.5,8.5,2,7.949,0.127,0.016,20.245,0.007,0,0.26,0,0,8.26,0,0,221.9,300.379,1.354,4.25,1.626,0.383,105.45,0.071,0.001,9.535,0.007,0.001,41.8634,-83.24993
105,18,6,2013,6/18/2013,Spring,1710,-0.5,0.5,38,0.146,0.108,0.74,18.87,0.685,0.036,0.098,0.093,0.949,8.109,0.059,0.007,99.082,0.428,0.004,9.1,0,0,91.947,0.839,0.009,8.552,0.198,0.023,41.76343,-83.14987
105,18,6,2013,6/18/2013,Spring,1710,0.5,1.5,4,1.013,0.356,0.351,19.773,0.402,0.02,0.241,0.003,0.012,8.207,0.005,0.001,99.675,0.25,0.003,9.1,0,0,90.85,0.5,0.006,8.295,0.11,0.013,41.76343,-83.14987
105,18,6,2013,6/18/2013,Spring,1710,1.5,2.5,3,2.179,0.178,0.082,19.98,0,0,0.239,0,0,8.217,0.006,0.001,99.8,0,0,9.1,0,0,90.6,0,0,8.24,0,0,41.76343,-83.14987
105,18,6,2013,6/18/2013,Spring,1710,2.5,3.5,3,3.066,0.321,0.105,19.98,0,0,0.239,0,0,8.227,0.006,0.001,99.8,0,0,9.1,0,0,90.6,0,0,8.24,0,0,41.76343,-83.14987
105,18,6,2013,6/18/2013,Spring,1710,3.5,4.5,3,3.99,0.309,0.077,19.983,0.006,0,0.239,0,0,8.233,0.006,0.001,99.8,0,0,9.1,0,0,90.6,0,0,8.237,0.006,0.001,41.76343,-83.14987
105,18,6,2013,6/18/2013,Spring,1710,4.5,5.5,3,4.999,0.293,0.059,19.98,0,0,0.239,0.001,0.004,8.24,0,0,7.4,0.1,0.014,2.167,1.06,0.489,99.467,7.679,0.077,9.043,0.696,0.077,41.76343,-83.14987
105,18,6,2013,6/18/2013,Spring,1710,5.5,6.5,4,5.995,0.403,0.067,19.98,0,0,0.239,0,0,8.248,0.005,0.001,7.475,0.189,0.025,2.55,0.926,0.363,104.05,0.058,0.001,9.463,0.005,0.001,41.76343,-83.14987
105,18,6,2013,6/18/2013,Spring,1710,6.5,7.5,3,7.212,0.247,0.034,19.91,0.05,0.003,0.239,0.001,0.004,8.25,0,0,7.4,0.173,0.023,1.967,2.122,1.079,104.067,0.058,0.001,9.477,0.006,0.001,41.76343,-83.14987
105,18,6,2013,6/18/2013,Spring,1710,7.5,8.5,4,8.189,0.31,0.038,19.785,0.034,0.002,0.238,0.001,0.004,8.248,0.005,0.001,7.225,0.34,0.047,0.1,0.804,8.04,103.875,0.15,0.001,9.48,0.012,0.001,41.76343,-83.14987
106,18,6,2013,6/18/2013,Spring,1348,-0.5,0.5,127,0.091,0.022,0.242,18.091,0.364,0.02,0.003,0.016,5.333,8.167,0.042,0.005,59.769,68.701,1.149,3.348,3.369,1.006,91.609,0.998,0.011,8.66,0.141,0.016,41.86343,-83.14995
106,18,6,2013,6/18/2013,Spring,1348,0.5,1.5,2,0.908,0.086,0.095,18.825,0.516,0.027,0.27,0.012,0.044,8.155,0.007,0.001,17.75,12.233,0.689,4.85,1.909,0.394,94.7,0.283,0.003,8.805,0.064,0.007,41.86343,-83.14995
106,18,6,2013,6/18/2013,Spring,1348,1.5,2.5,6,1.968,0.255,0.13,19.727,0.105,0.005,0.275,0.001,0.004,8.183,0.012,0.001,10.583,2.595,0.245,4.067,1.147,0.282,98.033,1.701,0.017,8.957,0.137,0.015,41.86343,-83.14995
106,18,6,2013,6/18/2013,Spring,1348,2.5,3.5,4,3.007,0.337,0.112,19.81,0,0,0.275,0,0,8.207,0.005,0.001,9.175,0.096,0.01,4.55,1.718,0.378,101.925,0.789,0.008,9.295,0.07,0.008,41.86343,-83.14995
106,18,6,2013,6/18/2013,Spring,1348,3.5,4.5,10,3.988,0.265,0.066,19.797,0.009,0,0.275,0.001,0.004,8.233,0.011,0.001,9.13,0.337,0.037,4.71,1.142,0.242,105,1.017,0.01,9.58,0.096,0.01,41.86343,-83.14995
106,18,6,2013,6/18/2013,Spring,1348,4.5,5.5,3,5.021,0.257,0.051,19.757,0.015,0.001,0.276,0,0,8.247,0.006,0.001,10.467,1.935,0.185,3.7,1.992,0.538,106.8,0.173,0.002,9.753,0.021,0.002,41.86343,-83.14995
106,18,6,2013,6/18/2013,Spring,1348,5.5,6.5,7,5.862,0.368,0.063,19.729,0.004,0,0.276,0,0,8.257,0.005,0.001,9.214,0.38,0.041,3.657,2.349,0.642,107.343,0.19,0.002,9.806,0.018,0.002,41.86343,-83.14995
106,18,6,2013,6/18/2013,Spring,1348,6.5,7.5,3,7.095,0.264,0.037,19.703,0.015,0.001,0.278,0,0,8.26,0,0,9.167,0.058,0.006,4.667,2.065,0.442,107.767,0.058,0.001,9.853,0.012,0.001,41.86343,-83.14995
106,18,6,2013,6/18/2013,Spring,1348,7.5,8.5,3,8.027,0.3,0.037,19.663,0.021,0.001,0.279,0.001,0.004,8.26,0,0,9.333,0.208,0.022,4.667,0.757,0.162,107.8,0,0,9.86,0,0,41.86343,-83.14995
106,18,6,2013,6/18/2013,Spring,1348,8.5,9.5,3,8.937,0.2,0.022,19.583,0.031,0.002,0.279,0.002,0.007,8.263,0.006,0.001,152.967,248.145,1.622,2.867,3.968,1.384,107.8,0.1,0.001,9.877,0.006,0.001,41.86343,-83.14995
107,18,6,2013,6/18/2013,Spring,1257,-0.5,0.5,28,0.14,0.114,0.814,17.873,0.731,0.041,0.074,0.093,1.257,8.166,0.071,0.009,613.993,3.026,0.005,7.5,0,0,93.843,0.898,0.01,8.908,0.219,0.025,41.96347,-83.14988
107,18,6,2013,6/18/2013,Spring,1257,0.5,1.5,26,0.877,0.245,0.279,19.346,0.046,0.002,0.229,0.001,0.004,8.243,0.005,0.001,550.1,197.819,0.36,6.846,1.882,0.275,92.904,3.134,0.034,8.552,0.294,0.034,41.96347,-83.14988
107,18,6,2013,6/18/2013,Spring,1257,1.5,2.5,3,2.094,0.23,0.11,19.22,0.01,0.001,0.228,0,0,8.25,0,0,13,0,0,-1.033,1.358,-1.315,103.567,0.058,0.001,9.56,0,0,41.96347,-83.14988
107,18,6,2013,6/18/2013,Spring,1257,2.5,3.5,2,2.987,0.176,0.059,19.205,0.007,0,0.228,0,0,8.25,0,0,13,0,0,-1.4,0.566,-0.404,103.6,0,0,9.565,0.007,0.001,41.96347,-83.14988
107,18,6,2013,6/18/2013,Spring,1257,3.5,4.5,3,3.875,0.392,0.101,19.133,0.045,0.002,0.227,0,0,8.257,0.006,0.001,13.067,1.301,0.1,0.933,3.164,3.391,103.567,0.058,0.001,9.577,0.006,0.001,41.96347,-83.14988
107,18,6,2013,6/18/2013,Spring,1257,4.5,5.5,4,4.952,0.449,0.091,19.03,0.029,0.002,0.227,0,0,8.26,0,0,11.925,0.591,0.05,0.25,1.987,7.948,103.5,0,0,9.592,0.005,0.001,41.96347,-83.14988
107,18,6,2013,6/18/2013,Spring,1257,5.5,6.5,2,5.987,0.209,0.035,18.975,0.021,0.001,0.226,0,0,8.26,0,0,12.75,1.202,0.094,-0.1,1.414,-14.14,103.55,0.071,0.001,9.6,0,0,41.96347,-83.14988
107,18,6,2013,6/18/2013,Spring,1257,6.5,7.5,4,6.918,0.245,0.035,18.918,0.017,0.001,0.226,0.001,0.004,8.26,0,0,21.7,16.1,0.742,1.2,0.927,0.773,103.5,0,0,9.615,0.006,0.001,41.96347,-83.14988
108,17,6,2013,6/17/2013,Spring,1540,-0.5,0.5,12,0.108,0.108,1,21.478,0.22,0.01,0.107,0.132,1.234,7.807,0.137,0.018,5.25,2.54,0.484,14.792,48.564,3.283,84.192,3.39,0.04,7.435,0.277,0.037,41.66327,-83.04967
108,17,6,2013,6/17/2013,Spring,1540,0.5,1.5,4,1.019,0.257,0.252,21.905,0.084,0.004,0.275,0,0,8.057,0.022,0.003,8.45,0.827,0.098,2.975,2.1,0.706,94.2,2.246,0.024,8.242,0.188,0.023,41.66327,-83.04967
108,17,6,2013,6/17/2013,Spring,1540,1.5,2.5,9,1.777,0.252,0.142,22.35,0.085,0.004,0.273,0.001,0.004,8.139,0.029,0.004,7.822,0.179,0.023,1.844,1.398,0.758,103.278,3.317,0.032,8.966,0.285,0.032,41.66327,-83.04967
108,17,6,2013,6/17/2013,Spring,1540,2.5,3.5,5,2.933,0.29,0.099,21.396,0.496,0.023,0.275,0.002,0.007,8.23,0.029,0.004,8.34,0.152,0.018,3.36,1.055,0.314,109.52,0.95,0.009,9.684,0.176,0.018,41.66327,-83.04967
108,17,6,2013,6/17/2013,Spring,1540,3.5,4.5,5,3.896,0.3,0.077,20.602,0.096,0.005,0.282,0.002,0.007,8.308,0.019,0.002,8.86,0.219,0.025,8.14,2.63,0.323,112.36,0.966,0.009,10.09,0.104,0.01,41.66327,-83.04967
108,17,6,2013,6/17/2013,Spring,1540,4.5,5.5,6,4.946,0.308,0.062,20.41,0.038,0.002,0.285,0.001,0.004,8.338,0.004,0,9,0.29,0.032,10.45,2.944,0.282,115.533,0.878,0.008,10.412,0.086,0.008,41.66327,-83.04967
108,17,6,2013,6/17/2013,Spring,1540,5.5,6.5,7,5.994,0.33,0.055,20.309,0.04,0.002,0.287,0,0,8.333,0.008,0.001,9.1,0.141,0.015,9,2.415,0.268,116.757,0.127,0.001,10.543,0.008,0.001,41.66327,-83.04967
108,17,6,2013,6/17/2013,Spring,1540,6.5,7.5,5,7.033,0.316,0.045,20.054,0.133,0.007,0.289,0.001,0.003,8.294,0.011,0.001,10.02,0.829,0.083,6.16,3.365,0.546,115.5,0.927,0.008,10.482,0.058,0.006,41.66327,-83.04967
108,17,6,2013,6/17/2013,Spring,1540,7.5,8.5,7,8.05,0.354,0.044,19.769,0.041,0.002,0.289,0,0,8.254,0.013,0.002,13.171,2.161,0.164,11.657,4.9,0.42,111.029,1.767,0.016,10.134,0.156,0.015,41.66327,-83.04967
108,17,6,2013,6/17/2013,Spring,1540,8.5,9.5,3,8.559,0.041,0.005,19.727,0.006,0,0.289,0.001,0.003,8.23,0,0,29.9,26.81,0.897,20.667,4.05,0.196,107.1,0.854,0.008,9.78,0.075,0.008,41.66327,-83.04967
109,17,6,2013,6/17/2013,Spring,1735,-0.5,0.5,30,0.073,0.076,1.041,22.468,0.327,0.015,0.106,0.082,0.774,7.793,0.072,0.009,43.943,32.979,0.75,12.207,48.779,3.996,74.813,1.449,0.019,6.482,0.166,0.026,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,0.5,1.5,6,0.918,0.392,0.427,21.457,0.072,0.003,0.243,0,0,8.043,0.019,0.002,11.517,9.068,0.787,2.083,1.778,0.854,83.25,2.797,0.034,7.353,0.255,0.035,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,1.5,2.5,5,2.176,0.312,0.143,21.302,0.09,0.004,0.243,0,0,8.094,0.015,0.002,7.18,0.421,0.059,1.3,1.468,1.129,91.66,3.409,0.037,8.122,0.316,0.039,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,2.5,3.5,7,2.864,0.363,0.127,20.999,0.334,0.016,0.243,0.001,0.004,8.117,0.022,0.003,7.571,0.923,0.122,1.486,1.945,1.309,95.443,2.728,0.029,8.503,0.295,0.035,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,3.5,4.5,4,4.045,0.273,0.067,20.267,0.359,0.018,0.242,0.001,0.004,8.162,0.01,0.001,7.175,0.126,0.018,0.45,2.001,4.447,99.275,0.66,0.007,8.973,0.124,0.014,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,4.5,5.5,4,4.987,0.309,0.062,19.73,0.073,0.004,0.243,0,0,8.188,0.005,0.001,7.325,0.096,0.013,2.425,1.323,0.546,100.7,0.337,0.003,9.203,0.051,0.006,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,5.5,6.5,5,6.032,0.389,0.064,19.338,0.158,0.008,0.244,0.001,0.004,8.192,0.004,0,7.4,0.158,0.021,4.76,1.695,0.356,101.78,0.259,0.003,9.372,0.055,0.006,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,6.5,7.5,5,7.092,0.3,0.042,19.034,0.046,0.002,0.245,0.001,0.004,8.182,0.004,0,7.92,0.164,0.021,4.14,0.716,0.173,102.22,0.045,0,9.472,0.013,0.001,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,7.5,8.5,4,7.935,0.124,0.016,18.95,0.014,0.001,0.246,0,0,8.168,0.005,0.001,8.7,0.716,0.082,3.225,2.007,0.622,101.85,0.208,0.002,9.455,0.013,0.001,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,8.5,9.5,7,8.975,0.383,0.043,18.884,0.021,0.001,0.246,0,0,8.147,0.008,0.001,12.157,1.4,0.115,4.957,2.518,0.508,100.7,0.594,0.006,9.359,0.051,0.005,41.76343,-83.0499
109,17,6,2013,6/17/2013,Spring,1735,9.5,10.5,2,9.637,0.019,0.002,18.86,0,0,0.246,0,0,8.13,0,0,36.6,52.892,1.445,14.6,9.051,0.62,99.3,0.283,0.003,9.235,0.021,0.002,41.76343,-83.0499
110,18,6,2013,6/18/2013,Spring,1110,-0.5,0.5,26,0.128,0.072,0.562,17.762,0.661,0.037,0.049,0.098,2,8.283,0.036,0.004,-181.704,70.142,-0.386,5.923,6.501,1.098,96.069,1.748,0.018,9.14,0.138,0.015,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,0.5,1.5,13,0.927,0.332,0.358,19.313,0.131,0.007,0.242,0.001,0.004,8.291,0.015,0.002,-8.315,60.06,-7.223,0.6,1.738,2.897,98.977,1.844,0.019,9.117,0.149,0.016,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,1.5,2.5,9,2.004,0.361,0.18,19.368,0.004,0,0.242,0,0,8.28,0,0,8.111,0.176,0.022,0.478,1.432,2.996,101.056,0.305,0.003,9.298,0.027,0.003,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,2.5,3.5,9,2.953,0.297,0.101,19.349,0.018,0.001,0.242,0,0,8.279,0.003,0,8.256,0.422,0.051,1.067,1.583,1.484,101.444,0.133,0.001,9.338,0.016,0.002,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,3.5,4.5,4,3.922,0.2,0.051,19.312,0.005,0,0.242,0,0,8.273,0.005,0.001,8.275,0.263,0.032,0.125,1.063,8.504,101.45,0.058,0.001,9.348,0.005,0.001,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,4.5,5.5,5,4.943,0.297,0.06,19.31,0,0,0.242,0,0,8.272,0.004,0,8.44,0.089,0.011,1.66,1.426,0.859,101.4,0.071,0.001,9.342,0.008,0.001,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,5.5,6.5,5,6.046,0.365,0.06,19.282,0.03,0.002,0.242,0,0,8.276,0.005,0.001,8.22,0.228,0.028,1.7,1.867,1.098,101.24,0.055,0.001,9.334,0.005,0.001,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,6.5,7.5,5,7.176,0.399,0.056,19.212,0.037,0.002,0.241,0,0,8.276,0.005,0.001,8.66,0.808,0.093,1.2,1.669,1.391,101.12,0.084,0.001,9.334,0.005,0.001,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,7.5,8.5,4,8.174,0.204,0.025,19.093,0.069,0.004,0.24,0,0,8.27,0,0,8.65,0.129,0.015,0.575,1.522,2.647,100.85,0.129,0.001,9.332,0.005,0.001,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,8.5,9.5,6,9.126,0.272,0.03,18.583,0.275,0.015,0.238,0.001,0.004,8.265,0.008,0.001,10.917,1.169,0.107,1.117,2.073,1.856,99.9,0.6,0.006,9.34,0.025,0.003,41.8685,-83.05093
110,18,6,2013,6/18/2013,Spring,1110,9.5,10.5,5,9.819,0.082,0.008,18.294,0.005,0,0.238,0.001,0.004,8.242,0.004,0,395.94,569.264,1.438,2,2.724,1.362,97.9,0.539,0.006,9.206,0.051,0.006,41.8685,-83.05093
111,18,6,2013,6/18/2013,Spring,1219,-0.5,0.5,24,0.184,0.136,0.739,18.142,1.183,0.065,0.076,0.109,1.434,8.175,0.081,0.01,18.387,30.883,1.68,11.596,29.403,2.536,93.692,2.294,0.024,8.844,0.167,0.019,41.96315,-83.05067
111,18,6,2013,6/18/2013,Spring,1219,0.5,1.5,8,0.793,0.307,0.387,20.045,0.241,0.012,0.243,0.001,0.004,8.27,0.009,0.001,9.488,1.302,0.137,2.25,4.131,1.836,99.3,2.392,0.024,9.015,0.183,0.02,41.96315,-83.05067
111,18,6,2013,6/18/2013,Spring,1219,1.5,2.5,4,1.941,0.328,0.169,20.137,0.005,0,0.243,0,0,8.283,0.005,0.001,9.625,1.389,0.144,0.975,1.36,1.395,101.775,0.126,0.001,9.225,0.013,0.001,41.96315,-83.05067
111,18,6,2013,6/18/2013,Spring,1219,2.5,3.5,6,2.979,0.317,0.106,20.128,0.004,0,0.242,0.001,0.004,8.29,0,0,9.017,0.248,0.028,1.567,1.199,0.765,102.267,0.121,0.001,9.267,0.012,0.001,41.96315,-83.05067
111,18,6,2013,6/18/2013,Spring,1219,3.5,4.5,7,4.176,0.324,0.078,20.074,0.022,0.001,0.242,0,0,8.299,0.009,0.001,8.986,0.398,0.044,2.543,1.88,0.739,102.571,0.095,0.001,9.309,0.016,0.002,41.96315,-83.05067
111,18,6,2013,6/18/2013,Spring,1219,4.5,5.5,7,4.744,0.193,0.041,20.05,0.006,0,0.242,0,0,8.309,0.004,0,9.086,0.348,0.038,2.786,1.22,0.438,102.771,0.138,0.001,9.329,0.012,0.001,41.96315,-83.05067
111,18,6,2013,6/18/2013,Spring,1219,5.5,6.5,6,5.867,0.325,0.055,19.988,0.023,0.001,0.242,0,0,8.312,0.004,0,9.383,0.117,0.012,2.2,1.912,0.869,102.933,0.082,0.001,9.357,0.012,0.001,41.96315,-83.05067
111,18,6,2013,6/18/2013,Spring,1219,6.5,7.5,4,7.069,0.345,0.049,19.867,0.051,0.003,0.242,0.001,0.004,8.32,0,0,9.975,0.479,0.048,1.275,3.53,2.769,102.85,0.058,0.001,9.37,0.008,0.001,41.96315,-83.05067
111,18,6,2013,6/18/2013,Spring,1219,7.5,8.5,6,7.95,0.187,0.024,19.177,0.346,0.018,0.234,0.002,0.009,8.325,0.008,0.001,14.567,1.271,0.087,1.767,2.729,1.544,102.233,0.418,0.004,9.443,0.039,0.004,41.96315,-83.05067
112,17,6,2013,6/17/2013,Spring,1255,-0.5,0.5,228,0.09,0.079,0.878,22.176,0.396,0.018,0.151,0.079,0.523,7.859,0.139,0.018,69.109,58.527,0.847,2.742,4.4,1.605,81.85,8.738,0.107,7.131,0.759,0.106,41.56347,-82.95092
112,17,6,2013,6/17/2013,Spring,1255,0.5,1.5,14,0.914,0.32,0.35,22.336,0.502,0.022,0.28,0.009,0.032,8.069,0.108,0.013,11.75,5.121,0.436,3.55,1.875,0.528,97.479,5.194,0.053,8.466,0.482,0.057,41.56347,-82.95092
112,17,6,2013,6/17/2013,Spring,1255,1.5,2.5,10,1.995,0.285,0.143,21.542,0.349,0.016,0.277,0.01,0.036,8.143,0.076,0.009,15.12,9.662,0.639,3.9,1.523,0.391,101.91,2.428,0.024,8.986,0.256,0.028,41.56347,-82.95092
112,17,6,2013,6/17/2013,Spring,1255,2.5,3.5,14,2.921,0.283,0.097,21.04,0.27,0.013,0.277,0.009,0.032,8.174,0.042,0.005,11.457,4.85,0.423,5.514,2.864,0.519,103.629,1.614,0.016,9.226,0.187,0.02,41.56347,-82.95092
112,17,6,2013,6/17/2013,Spring,1255,3.5,4.5,12,4.021,0.307,0.076,20.79,0.383,0.018,0.277,0.009,0.032,8.194,0.023,0.003,11.958,5.085,0.425,4.55,2.784,0.612,104.608,1.535,0.015,9.361,0.2,0.021,41.56347,-82.95092
112,17,6,2013,6/17/2013,Spring,1255,4.5,5.5,14,5.046,0.283,0.056,20.633,0.414,0.02,0.276,0.009,0.033,8.197,0.023,0.003,12.814,5.412,0.422,5.45,2.407,0.442,105.243,1.981,0.019,9.446,0.245,0.026,41.56347,-82.95092
112,17,6,2013,6/17/2013,Spring,1255,5.5,6.5,18,6.015,0.298,0.05,20.659,0.296,0.014,0.279,0.007,0.025,8.178,0.019,0.002,15.317,4.417,0.288,5.678,2.59,0.456,105.061,1.682,0.016,9.424,0.197,0.021,41.56347,-82.95092
112,17,6,2013,6/17/2013,Spring,1255,6.5,7.5,23,6.843,0.167,0.024,20.582,0.286,0.014,0.279,0.007,0.025,8.169,0.016,0.002,29.63,54.829,1.85,5.017,2.458,0.49,104.93,1.651,0.016,9.427,0.195,0.021,41.56347,-82.95092
